"POLITICO";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO";"ARQUIVO_FOTO";"B_RUR";"B_EV"
"--";"José Pimentel";"PT";"CE";615;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv615.jpg";;"--";"--"
"--";"José Sarney";"PMDB";"AP";47;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv47.jpg";;"--";"--"
"--";"Kátia Abreu";"PSD";"TO";1249;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv1249.jpg";;"--";"--"
"--";"Lauro Antonio";"PR";"SE";5156;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5156.jpg";;"--";"--"
"--";"Lídice da Mata";"PSB";"BA";4575;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv4575.jpg";;"--";"--"
"--";"Lindbergh Farias";"PT";"RJ";3695;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3695.jpg";;"--";"--"
"--";"Lobão Filho";"PMDB";"MA";3579;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3579.jpg";;"--";"--"
"--";"Lúcia Vânia";"PSDB";"GO";643;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv643.jpg";;"--";"--"
"--";"Luiz Henrique";"PMDB";"SC";5002;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv5002.jpg";;"--";"--"
"--";"Magno Malta";"PR";"ES";631;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv631.jpg";;"--";"--"
"--";"Marcelo Crivella";"PRB";"RJ";3366;"--";"54/55";"http://www.senado.gov.br/senadores/img/fotos/bemv3366.jpg";;"--";"--"
"--";"Marco Antônio Costa";"DEM";"TO";4788;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4788.jpg";;"--";"--"
"--";"Marconi Perillo";"PSDB";"GO";4535;"--";"53/54";"http://www.senado.gov.br/senadores/img/fotos/bemv4535.jpg";;"--";"--"
