"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"CÂNDIDO VACCAREZZA";"VACCAREZZA";"cândido vaccarezza";"candido vaccarezza";"CANDIDO VACCAREZZA";"PT";"SP";1944;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189297"
"CAPITÃO ASSUMÇÃO";"ASSUMÇÃO";"capitão assumção";"capitao assumcao";"CAPITAO ASSUMCAO";"PSB";"ES";1998;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189298"
"CARLAILE PEDROSA";"PEDROSA";"carlaile pedrosa";"carlaile pedrosa";"CARLAILE PEDROSA";"PSDB";"MG";2297;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189299"
"CARLINHOS ALMEIDA";"ALMEIDA";"carlinhos almeida";"carlinhos almeida";"CARLINHOS ALMEIDA";"PT";"SP";2247;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189300"
"CARLITO MERSS";"MERSS";"carlito merss";"carlito merss";"CARLITO MERSS";"PT";"SC";1443;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189301"
"CARLOS ABICALIL";"ABICALIL";"carlos abicalil";"carlos abicalil";"CARLOS ABICALIL";"PT";"MT";1550;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189302"
"CARLOS ALBERTO";"ALBERTO";"carlos alberto";"carlos alberto";"CARLOS ALBERTO";"DEM";"MG";2019;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189303"
"CARLOS ALBERTO CANUTO";"CANUTO";"carlos alberto canuto";"carlos alberto canuto";"CARLOS ALBERTO CANUTO";"PSC";"AL";1795;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189304"
"CARLOS ALBERTO LERÉIA";"LERÉIA";"carlos alberto leréia";"carlos alberto lereia";"CARLOS ALBERTO LEREIA";"PSDB";"GO";1551;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189305"
"CARLOS BEZERRA";"BEZERRA";"carlos bezerra";"carlos bezerra";"CARLOS BEZERRA";"PMDB";"MT";1962;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189306"
"CARLOS BRANDÃO";"BRANDÃO";"carlos brandão";"carlos brandao";"CARLOS BRANDAO";"PSDB";"MA";1796;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189307"
"CARLOS EDUARDO CADOCA";"CADOCA";"carlos eduardo cadoca";"carlos eduardo cadoca";"CARLOS EDUARDO CADOCA";"PSC";"PE";1325;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189308"
"CARLOS MAGNO";"MAGNO";"carlos magno";"carlos magno";"CARLOS MAGNO";"PP";"RO";2352;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189309"
