"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"JEFFERSON CAMPOS";"CAMPOS";"jefferson campos";"jefferson campos";"JEFFERSON CAMPOS";"PSD";"SP";1669;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=107444"
"JERÔNIMO GOERGEN";"GOERGEN";"jerônimo goergen";"jeronimo goergen";"JERONIMO GOERGEN";"PP";"RS";2340;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189149"
"JESUS RODRIGUES";"RODRIGUES";"jesus rodrigues";"jesus rodrigues";"JESUS RODRIGUES";"PT";"PI";2380;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189113"
"JHONATAN DE JESUS";"JESUS";"jhonatan de jesus";"jhonatan de jesus";"JHONATAN DE JESUS";"PRB";"RR";2333;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189216"
"JILMAR TATTO";"TATTO";"jilmar tatto";"jilmar tatto";"JILMAR TATTO";"PT";"SP";1853;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=161734"
"JÔ MORAES";"MORAES";"jô moraes";"jo moraes";"JO MORAES";"PCdoB";"MG";1854;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=161208"
"JOÃO ANANIAS";"ANANIAS";"joão ananias";"joao ananias";"JOAO ANANIAS";"PCdoB";"CE";2381;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189058"
"JOÃO ARRUDA";"ARRUDA";"joão arruda";"joao arruda";"JOAO ARRUDA";"PMDB";"PR";2363;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189117"
"JOÃO BITTAR";"BITTAR";"joão bittar";"joao bittar";"JOAO BITTAR";"DEM";"MG";1855;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=160074"
"JOÃO CAMPOS";"CAMPOS";"joão campos";"joao campos";"JOAO CAMPOS";"PSDB";"GO";1671;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=108210"
"JOÃO CARLOS BACELAR";" BACELAR";"joão carlos bacelar";"joao carlos bacelar";"JOAO CARLOS BACELAR";"PR";"BA";1856;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=162389"
"JOÃO DADO";"DADO";"joão dado";"joao dado";"JOAO DADO";"PDT";"SP";1503;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=100875"
"JOÃO LEÃO";"LEÃO";"joão leão";"joao leao";"JOAO LEAO";"PP";"BA";1063;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=98687"
"JOÃO LYRA";"LYRA";"joão lyra";"joao lyra";"JOAO LYRA";"PSD";"AL";1674;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=107464"
"JOÃO MAGALHÃES";"MAGALHÃES";"joão magalhães";"joao magalhaes";"JOAO MAGALHAES";"PMDB";"MG";1233;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=99005"
"JOÃO MAIA";"MAIA";"joão maia";"joao maia";"JOAO MAIA";"PR";"RN";1857;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=162428"
"JOÃO PAULO CUNHA";"CUNHA";"joão paulo cunha";"joao paulo cunha";"JOAO PAULO CUNHA";"PT";"SP";1065;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97639"
"JOÃO PAULO LIMA";"LIMA";"joão paulo lima";"joao paulo lima";"JOAO PAULO LIMA";"PT";"PE";2392;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189107"
"JOÃO PIZZOLATTI";"PIZZOLATTI";"joão pizzolatti";"joao pizzolatti";"JOAO PIZZOLATTI";"PP";"SC";1056;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97573"
"JOÃO RODRIGUES";"RODRIGUES";"joão rodrigues";"joao rodrigues";"JOAO RODRIGUES";"PSD";"SC";2315;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189152"
"JOAQUIM BELTRÃO";"BELTRÃO";"joaquim beltrão";"joaquim beltrao";"JOAQUIM BELTRAO";"PMDB";"AL";1859;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=160286"
"JONAS DONIZETTE";"DONIZETTE";"jonas donizette";"jonas donizette";"JONAS DONIZETTE";"PSB";"SP";2251;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189169"
"JORGE BITTAR";"BITTAR";"jorge bittar";"jorge bittar";"JORGE BITTAR";"PT";"RJ";1381;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=99563"
"JORGE BOEIRA";"BOEIRA";"jorge boeira";"jorge boeira";"JORGE BOEIRA";"PSD";"SC";1563;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=108967"
"JORGE CORTE REAL";"CORTE REAL";"jorge corte real";"jorge corte real";"JORGE CORTE REAL";"PTB";"PE";2256;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189108"
"JORGE PINHEIRO";"PINHEIRO";"jorge pinheiro";"jorge pinheiro";"JORGE PINHEIRO";"PRB";"GO";1470;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=100606"
"JORGE TADEU MUDALEN";"MUDALEN";"jorge tadeu mudalen";"jorge tadeu mudalen";"JORGE TADEU MUDALEN";"DEM";"SP";763;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97664"
"JORGINHO MELLO";"MELLO";"jorginho mello";"jorginho mello";"JORGINHO MELLO";"PSDB";"SC";2391;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189153"
"JOSÉ AIRTON";"AIRTON";"josé airton";"jose airton";"JOSE AIRTON";"PT";"CE";1860;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=160448"
"JOSÉ ANÍBAL";"ANÍBAL";"josé aníbal";"jose anibal";"JOSE ANIBAL";"PSDB";"SP";898;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97672"
"JOSÉ AUGUSTO MAIA";"MAIA";"josé augusto maia";"jose augusto maia";"JOSE AUGUSTO MAIA";"PTB";"PE";2314;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=192580"
"JOSÉ CARLOS ARAÚJO";"ARAÚJO";"josé carlos araújo";"jose carlos araujo";"JOSE CARLOS ARAUJO";"PSD";"BA";1564;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=107486"
"JOSÉ CHAVES";;"josé chaves";"jose chaves";"JOSE CHAVES";"PTB";"PE";1091;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97718"
"JOSÉ DE FILIPPI";"FILIPPI";"josé de filippi";"jose de filippi";"JOSE DE FILIPPI";"PT";"SP";2364;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189171"
"JOSÉ GUIMARÃES";"GUIMARÃES";"josé guimarães";"jose guimaraes";"JOSE GUIMARAES";"PT";"CE";1861;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=161652"
"JOSÉ HUMBERTO";"HUMBERTO";"josé humberto";"jose humberto";"JOSE HUMBERTO";"PHS";"MG";2029;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189085"
"JOSÉ LINHARES";"LINHARES";"josé linhares";"jose linhares";"JOSE LINHARES";"PP";"CE";620;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97752"
"JOSÉ MENTOR";"MENTOR";"josé mentor";"jose mentor";"JOSE MENTOR";"PT";"SP";1567;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=108256"
"JOSÉ NUNES";"NUNES";"josé nunes";"jose nunes";"JOSE NUNES";"PSD";"BA";2348;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189049"
"JOSÉ OTÁVIO GERMANO";"GERMANO";"josé otávio germano";"jose otavio germano";"JOSE OTAVIO GERMANO";"PP";"RS";1568;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=108263"
"JOSÉ PRIANTE";"PRIANTE";"josé priante";"jose priante";"JOSE PRIANTE";"PMDB";"PA";1077;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97695"
"JOSÉ ROCHA";"ROCHA";"josé rocha";"jose rocha";"JOSE ROCHA";"PR";"BA";1071;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97807"
"JOSE STÉDILE";"STÉDILE";"jose stédile";"jose stedile";"JOSE STEDILE";"PSB";"RS";2345;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189150"
"JOSEPH BANDEIRA";"BANDEIRA";"joseph bandeira";"joseph bandeira";"JOSEPH BANDEIRA";"PT";"BA";1970;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=166102"
"JOSIAS GOMES";"GOMES";"josias gomes";"josias gomes";"JOSIAS GOMES";"PT";"BA";1571;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=107559"
"JOSUÉ BENGTSON";"BENGTSON";"josué bengtson";"josue bengtson";"JOSUE BENGTSON";"PTB";"PA";1281;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=100037"
"JOVAIR ARANTES";"ARANTES";"jovair arantes";"jovair arantes";"JOVAIR ARANTES";"PTB";"GO";1096;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=97841"
"JÚLIO CAMPOS";"CAMPOS";"júlio campos";"julio campos";"JULIO CAMPOS";"DEM";"MT";369;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=106466"
"JÚLIO CESAR";"CESAR";"júlio cesar";"julio cesar";"JULIO CESAR";"PSD";"PI";1097;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=101708"
"JÚLIO DELGADO";"DELGADO";"júlio delgado";"julio delgado";"JULIO DELGADO";"PSB";"MG";1480;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=100717"
"JULIO LOPES";"LOPES";"julio lopes";"julio lopes";"JULIO LOPES";"PP";"RJ";1576;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=108319"
"JULIO SEMEGHINI";"SEMEGHINI";"julio semeghini";"julio semeghini";"JULIO SEMEGHINI";"PSDB";"SP";1401;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=100268"
"JÚNIOR COIMBRA";"COIMBRA";"júnior coimbra";"junior coimbra";"JUNIOR COIMBRA";"PMDB";"TO";2318;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189193"
"JUNJI ABE";"ABE";"junji abe";"junji abe";"JUNJI ABE";"PSD";"SP";2332;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189174"
"JUTAHY JUNIOR";"JUNIOR";"jutahy junior";"jutahy junior";"JUTAHY JUNIOR";"PSDB";"BA";198;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=99469"
